street_name,street_class_code,new_area_code,surface_type_code,Subarea,Subarea EA,line_length,route_no,year_built,os_sheets,road_start,road_finish,Irish
CHAPEL LANE,7,1,1,12,12,199,,,326305,PARNELL STREET,DENMARK STREET,Lána an tSéipéil
CHAPELIZOD BY PASS,1,4,1,3,11,3335,N004,,326209,SOUTH CIRCULAR ROAD,LUCAN ROAD,
CHAPELIZOD COURT,6,4,1,3,11,0,,,326208,CHAPELIZOD HILL ROAD,LUCAN ROAD,Cúirt Shéipéil Iosóid
CHAPELIZOD HILL ROAD,4,4,3,4,12,441,,,326208,LUCAN ROAD,KYLEMORE ROAD,Bóthar Chnoc Séipéal Iosóid
CHAPELIZOD ROAD,3,4,1,3,11,203,,,326210,SOUTH CIRCULAR ROAD,LUCAN ROAD,Bóthar Iosóid
CHAPELIZOD ROAD,2,4,1,3,11,2396,R109,,326210,SOUTH CIRCULAR ROAD,LUCAN ROAD,Bóthar Iosóid
CHARLEMONT,6,3,1,13,13,2691,,,319802,GRIFFITH AVENUE,,Charlemont
CHARLEMONT BRIDGE,2,5,1,R13,R24,15,R117,,326325,CHARLEMONT MALL,CANAL ROAD,
CHARLEMONT MALL,4,5,3,15,7,257,,,326325,RICHMOND STREET SOUTH,CHARLEMONT STREET,Meal Achadh
CHARLEMONT PARADE,6,1,3,13,13,102,,,319817,CHARLEVILLE AVENUE,CLONMORE TERRACE,Paráid Achadh
CHARLEMONT PLACE,6,5,2,15,7,121,,,326320,CHARLEMONT STREET,,Plás Achadh
CHARLEMONT PLACE,4,5,3,15,7,217,,,326320,CHARLEMONT STREET,,Plás Achadh
CHARLEMONT ROAD,6,3,3,15,15,286,,,319813,HOWTH ROAD,MALAHIDE ROAD,Bóthar Achadh
CHARLEMONT STREET,2,5,1,15,7,325,R117,,326320,CHARLEMONT MALL,HARCOURT ROAD,
CHARLES LANE,7,1,2,9,9,122,,,319821,FITZGIBBON STREET,CHARLES STREET,
CHARLES STREET GREAT,4,1,1,9,9,276,,,319821,NORTH CIRCULAR ROAD,MOUNTJOY SQUARE EAST,
CHARLES STREET WEST,4,1,2,1,1,131,,,326309,INNS QUAY,CHANCERY STREET,
CHARLESTON AVENUE,6,5,3,8,21,185,,,332901,CHARLESTON ROAD,,Ascaill Charleston
CHARLESTON ROAD,4,5,2,R11,R22,313,,,332901,OAKLEY ROAD,MOUNTPLEASANT AVENUE,Bóthar Charleston
CHARLEVILLE AVENUE,5,1,1,13,13,267,,,319817,NORTH STRAND ROAD,BALLYBOUGH ROAD,Ascaill Ráth Luirc
CHARLEVILLE CLOSE,7,5,2,4,17,234,,,332805,CHARLEVILLE ROAD,,
CHARLEVILLE MALL,6,1,3,13,13,157,,,319822,DUNNE STREET,NORTH STRAND ROAD,Meal Ráth Luirc
CHARLEVILLE ROAD,5,1,3,12,20,246,,,319719,NEW CABRA ROAD,NORTH CIRCULAR ROAD,Bóthar Ráth Luirc
