street_name,street_class_code,new_area_code,surface_type_code,Subarea,Subarea EA,line_length,route_no,year_built,os_sheets,road_start,road_finish,Irish
ABBEY PARK,6,3,2,14,14,172,,,319805,KILLESTER AVE.,,Páirc na Mainistreach
ABBEY STREET LOWER,3,1,1,15,15,315,,,326401,O'CONNELL ST.,BERESFORD PLACE,Sráid na Mainistreach íocht
ABBEY STREET MIDDLE,3,1,1,12,12,251,,,326305,LR. LIFFEY STREET,O'CONNELL STREET,Sráid Mheadhan na Mainistreach
OLD ABBEY STREET,6,1,2,15,15,156,,,326401,BERESFORD PLACE,MARLBOROUGH STREET,Sean Sráid na Mainistreach
ABBEY STREET UPPER,3,1,1,12,12,321,,,326305,CAPEL ST,LOWER LIFFEY STREET,Sráid na Mainistreach Uacht
ABBEYFIELD,6,3,1,14,14,782,,,319805,ST BRIGID RD,MIDDLE THIRD,Gort na Mainistreach
ABBEYFIELD,4,3,1,14,14,442,,,319805,ST BRIGID RD,MIDDLE THIRD,Gort na Mainistreach
ABBEYFIELD,5,5,1,8,21,244,,1995,332907,MILLTOWN ROAD,,Goirt na Mainistreach
ABBOTSTOWN AVENUE,6,2,2,5,5,605,,,313116,CARDIFFBRIDGE RD,RATOATH ROAD,Ascaill Bhaile Abba
ABBOTSTOWN DRIVE,6,2,2,5,5,163,,,313116,RATOATH DRIVE,,Céide Bhaile an Abba
ABBOTSTOWN ROAD,6,2,2,5,5,336,,,313116,CAPPAGH RD,RATOATH AVE.,Bóthar Bhaile an Abba
ABERCORN ROAD,5,1,3,16,16,141,,,326402,SHERRIFF ST.,IRVINE TCE.,Bóthar Abarearnaigh
ABERCORN TERRACE,6,4,1,5,13,116,,,326215,ST. PATRICKS TERRACE,,Ardán Abarearnaigh
ABERDEEN STREET,6,1,3,1,1,144,,,326302,INFIRMARY RD.,FINDLATER ST.,Sráid Abardeón
ACCOMMODATION WALK,7,5,3,11,24,201,,,,,,An Cóngar
ACCOMMODATION WALK,7,5,2,11,24,304,,,,,,An Cóngar
ACHILL ROAD,6,1,3,14,22,155,,,319801,HOMEFARM RD.,,Bóthar Acaill
ADAIR LANE,7,5,2,9,1,43,,,326310,PRICES LANE,ASTON PLACE,Lána Uí Dhaire
ADAM COURT,7,5,3,17,9,30,,,326310,GRAFTON ST.,,Cúirt Ádhaimh
ADARE AVENUE,6,3,2,3,3,214,,,313209,ADARE RD.,BUNRATTY ROAD,Ascaill Átha Dara
ADARE DRIVE,6,3,2,3,3,209,,,313210,BUNRATTY RD,ADARE ROAD,Céide Átha Dara
ADARE GREEN,6,3,2,3,3,248,,,313210,BUNRATTY RD.,ADARE ROAD,Faiche Átha Dara
ADARE PARK,6,3,2,3,3,224,,,313210,ADARE RD,BUNRATTY ROAD,Páirc Átha Dara
ADARE ROAD,6,3,2,3,3,600,,,313210,COOLOCK DRIVE,BARRYSCOURT ROAD,Bóthar Átha Dara
ADDISON PLACE,6,1,1,13,21,52,,,319710,BOTANIC AVE.,,Plás Mac Ádaidh
ADDISON ROAD,6,3,3,15,17,159,,,319817,ANNESLEY BRIDGE RD.,,Bóthar Mac Ádaidh
ADELAIDE ROAD,2,5,1,R03,R01,505,R811,,326320,PETERS PLACE,LEESON STREET LOWER,Bóthar Adelaide
ADRIAN AVENUE,6,4,2,1,9,110,,,332809,CLAREVILLE ROAD,,Ascaill Aedrian
AIDEEN AVENUE,4,4,2,12,20,219,,,332808,DERRAVARAGH RD.,LWR. KIMMAGE ROAD,Ascaill éadaoin
AIDEEN DRIVE,6,4,2,12,20,204,,,332813,AIDEEN AVE.,DERRAVARAGH ROAD,Céide éadaoin
AIDEEN PLACE,7,4,2,12,20,210,,,332808,AIDEEN AVE.,AIDEEN DRIVE,Plás éadaoin
AIKENHEAD TERRACE,6,5,2,17,30,166,,,326413,OFF D. HURLEY AVE.,,Ardán Aikenhead
AILESBURY DRIVE,6,5,2,14,27,260,,,332903,AILESBURY DRIVE,ANGLESEA ROAD,Céide Aelsbaire
AILESBURY GARDENS,5,5,3,17,30,214,,,333005,OFF SYDNEY PARADE AVE.,,Garraithe Aelsbaire
AILESBURY GARDENS,5,5,2,17,30,69,,,333005,OFF SYDNEY PARADE AVENUE,,Garraithe Aelsbaire
AILESBURY GROVE,6,5,1,14,27,142,,,332903,OFF AILESBURY RD.,,Garrán Aelsbaire
AILESBURY MEWS,6,5,1,14,27,0,,,332910,AILESBURY GARDENS,,Eachlann Aelsbaire
AILESBURY PARK,5,5,3,17,30,229,,,332914,SYDNEY PARADE AVE.,MERRION ROAD,Páirc Aelsbaire
AILESBURY ROAD,4,5,1,14,27,211,,,332908,ANGLESEA RD,SYDNEY PARADE AVE,Bóthar Aelsbaire
AILESBURY ROAD,2,5,1,14,27,1049,R824,,332908,ANGLESEA RD. - SYDNEY PARADE AVE.,,Bóthar Aelsbaire
AILESBURY LANE,7,5,3,,,206,,,332904,AILESBURY ROAD,,
AIRFIELD COURT,6,5,2,12,25,188,,,332913,EXTENSION AIRFIELD PARK,,Cúirt Bhán an Aeir
AIRFIELD PARK,6,5,2,12,25,164,,,332908,STILLORGAN RD.,,Páirc Bhán an Aeir
AIRFIELD ROAD,6,5,3,4,17,123,,,332814,RATHGAR AVE.,,Bóthar Bhán an Aeir
ALBANY ROAD,6,5,3,8,21,241,,,332906,OFF MERTON DRIVE,,Bóthar Albaine
ALBANY ROAD,3,5,2,8,21,67,,,332906,OFF MERTON DRIVE,,Bóthar Albaine
ALBERT COLLEGE AVENUE,6,2,2,8,8,315,,,313120,ALBERT COLLEGE,,Ascaill Choláiste
ALBERT COLLEGE CRESCENT,6,2,2,8,8,117,,,313120,ALBERT COLLEGE AVE.,,Corrán Choláiste Ailbhe
ALBERT COLLEGE DRIVE,6,2,2,8,8,283,,,313220,ALBERT COLLEGE AVE.,BALLYMUN ROAD,Céide Choláiste Ailbhe
ALBERT COLLEGE GROVE,6,2,2,8,8,137,,,313120,ALBERT COLLEGE AVENUE,,Garrán Choláiste Ailbhe
ALBERT COLLEGE LAWN,6,2,2,8,8,135,,,313125,ALBERT COLLEGE AVENUE,,
ALBERT COLLEGE PARK,6,2,2,8,8,270,,,313120,COLLINS AVE. EXT.,ALBERT COLLEGE PARK,Páirc Choláiste Ailbhe
ALBERT COURT EAST,6,5,2,21,13,107,,,326412,GRAND CANAL ST. LR.,,Cúirt Ailbhe Thoir
ALBERT PLACE EAST,6,5,1,21,13,67,,,326412,GRAND CANAL ST. LWR.,,Plás Ailbhe Thoir
ALBERT PLACE WEST,6,5,2,15,7,114,,,326320,CHARLOTTE ST.,PETERS PLACE,Plás Ailbhe Thiar
ALBERT TERRACE,6,5,2,15,7,34,,,326320,ALBERT PLACE WEST,,Ardán Ailbhe
ALDBOROUGH PARADE,4,1,3,16,16,84,,,319822,NORTH STRAND,,Paráid Albro
ALDBOROUGH PLACE,7,1,3,13,13,69,,,319821,PORTLAND ROW,,Plás Albro
ALDBOROUGH SQUARE,7,1,3,13,13,30,,,319821,ALDBOROUGH PLACE,,Cearnóg Albro
ALDRIN WALK,6,3,2,9,9,191,,,313214,TRANQUILITY GROVE,,Cosán Aildrin
ALEXANDRA TERRACE,6,5,3,12,25,105,,,332814,WHITTON RD.,ST.ENDAS ROAD,Ardán Alexandra
ALEXANDER TERRACE,7,1,2,12,12,30,,,326403,OFF CASTLEFORBES RD.,,Ardán Alexandra
ALEXANDRA TERRACE,6,5,1,12,4,70,,,332814,BLOOMFIELD AVE.,,Ardán Alexandra
ALFIE BYRNE ROAD,2,3,1,R03,R03,1050,R834,,319818,EAST WALL RD.,CLONTARF ROAD,
ALL SAINTS DRIVE,6,3,2,16,16,298,,,319902,WADE'S AVE,WATERMILL ROAD,Céide na Naomh
ALL SAINTS PARK,3,3,2,16,16,219,,,319902,ALL SAINTS RD.,ALL SAINTS DRIVE,Páirc na Naomh
ALL SAINTS PARK,6,3,2,16,16,393,,,319902,ALL SAINTS RD,ALL SAINTS DRIVE,Páirc na Naomh
ALL SAINTS ROAD,3,3,1,16,16,801,,,319901,HOWTH RD.,WATERMILL ROAD,Bóthar na Naomh
ALLINGHAM STREET,6,4,2,6,6,94,,,326313,SUMMER ST. STH.,,Sráid Mhic Giolla Finnéin
ALMA TERRACE,6,5,2,7,20,52,,,326325,MOUNT PLEASANT AVE.,MOUNT PLEASANT BUILDINGS,Ardán Alma
ALMEIDA AVENUE,6,4,1,2,2,43,,,326312,ALMEIDA TCE.,BROOKFIELD STREET,Ascaill Alméide
AMIENS STREET,2,1,1,R13,R13,621,R105,,326401,SEVILLE PLACE,STORE STREET,Sráid Amiens
ANGLESEA ROAD,2,5,1,14,27,1192,R815,,326423,DONNYBROOK RD.,MERRION ROAD,Bóthar Mhóna.
ANGLESEA ROW,6,1,4,7,7,114,,,326305,LITTLE BRITTAIN ST.,LITTLE MARY STREET,Rae Mhóna.
ANGLESEA STREET,5,5,1,9,1,143,,,326310,FLEET ST.,COLLEGE GREEN,Sráid Mhóna.
ANNA VILLA,6,5,3,8,21,285,,,332901,RANELAGH,BEECHWOOD ROAD,Annabile.
ANNADALE AVENUE,6,3,3,15,17,91,,,319812,PHILIPSBURGH AVE,FOYLE ROAD,Ascal Annadal.
ANNADALE CRESCENT,6,3,2,15,17,391,,,319807,ANNADALE DRIVE,,Corrán Annadal.
ANNADALE DRIVE,6,3,2,15,17,585,,,319807,PHILIPSBURGH AVE.,GRACE PARK TERRACE,Céide Annadal.
ANNADALE DRIVE,6,3,1,15,17,15,,,319807,PHILIPSBURGH AVE.,GRACE PARK TERRACE,Céide Annadal.
ANNALY ROAD,3,1,2,12,20,217,,,319718,DOWTH AVE.,QUARRY ROAD,Bóthar Annaile.
ANNALY ROAD,6,1,2,12,20,291,,,319718,DOWTH AVE.,QUARRY ROAD,Bóthar Annaile.
ANNAMOE DRIVE,6,1,2,12,20,491,,,319718,ANNAMOE TERRACE,,Céide Áth Na Mbó
ANNAMOE PARADE,7,1,2,12,20,376,,,319718,NTH. CIRCULAR RD.,CHARLEVILLE ROAD,Paráid Áth Na Mbó
ANNAMOE PARK,6,1,2,12,20,264,,,319718,ANNAMOE DRIVE,,Páirc Áth Na Mbó
ANNAMOE ROAD,3,1,3,12,20,562,,,319718,NEW CABRA RD.,NORTH CIRCULAR ROAD,Bóthar Áth Na Mbó
ANNAMOE TERRACE,3,1,2,12,20,119,,,319718,ANNAMOE RD.,NEW CABRA ROAD,Ardán Áth Na Mbó
ANNAMOE TERRACE,4,1,1,12,20,252,,,319718,ANNAMOE ROAD,NEW CABRA ROAD,Ardán Áth Na Mbó
ANNE'S LANE,7,5,2,17,9,174,,,326305,ANNE STREET SOUTH,,
ANNE STREET NORTH,4,1,1,7,7,147,,,326304,CUCKOO LANE,NORTH KING STREET,
ANNE STREET SOUTH,4,5,1,17,9,136,,,326305,GRAFTON STREET,DAWSON STREET,
ANNER ROAD,6,4,2,7,15,265,,,326311,GOLDENBRIDGE AVENUE,BULFIN ROAD,Bóthar Andobhar
ANNESLEY AVENUE,6,1,3,13,13,129,,,319817,TAFFES PLACE,SPRING GARDEN STREET,Ascaill Ainisle
ANNESLEY BRIDGE ROAD,2,3,1,15,17,258,R105,,319817,EAST WALL ROAD,FAIRVIEW STRAND,Bóthar Dhroichead Ainisle
ANNESLEY PARK,6,5,3,8,21,272,,,332901,ORMOND ROAD SOUTH,DUNVILLE AVENUE,Páirc Ainisle
ANNESLEY PLACE,4,1,1,13,13,186,,,319817,POPLAR ROW,NORTH STRAND ROAD,Páirc Ainisle
APPIAN WAY,4,5,1,R12,R23,351,,,326422,LEESON STREET UPPER,LEESON PARK,
APOLLO WAY,6,3,2,9,9,148,,,313214,TRANQUILITY GROVE,,
ARBOUR HILL,4,1,1,1,1,663,,,326303,MONTPELIER HILL,STONEYBATTER,Cnoc an Earbair
ARBOUR PLACE,6,1,3,1,1,153,,,326303,STONEYBATTER,ARBOUR HILL,Plás Earbair
ARBOUR TERRACE,6,1,2,1,1,70,,,326303,ARBOUR HILL,,Ardán Earbair
ARBUTUS AVENUE,6,4,3,11,19,90,,,326324,PARNELL ROAD,,Ascaill na Caithne
ARBUTUS PLACE,6,5,1,11,3,96,,,326319,LOMBARD STREET WEST,,Plás na Caithne
ARD NA MEALA,6,2,3,,,305,,,313110,BALCURRIS ROAD,,
ARDPATRICK ROAD,6,1,2,10,18,307,,,319716,SKREEN ROAD,SKREEN ROAD,
ARD RI ROAD,6,1,3,1,1,187,,,326303,MOUNT TEMPLE ROAD,ARBOUR HILL,
ARD RI PLACE,6,1,3,1,1,43,,,313220,ARDRIGH ROAD,,
ARDAGH ROAD,6,4,2,10,18,137,,,326322,CRUMLIN ROAD,,Bóthar Árdachadh.
ARDARA AVENUE,6,3,2,4,4,662,,,313308,GRANGE ROAD,,Ascaill Ard an Rátha
ARDBEG CRESCENT,6,3,2,9,9,74,,,313220,ARDBEG DRIVE,,Corrán Ard Beag
ARDBEG DRIVE,6,3,2,9,9,176,,,313220,ARDBEG PLACE,,Céide Ard Beag
ARDBEG PARK,6,3,2,9,9,491,,,313220,OFF ARDBEG DRIVE,,Páirc Ard Beag
ARDBEG ROAD,6,3,2,9,9,145,,,313220,ARDLEA ROAD,ARDBEG PARK,Bóthar Ard Beag
ARDCOLLUM AVENUE,6,3,2,9,9,510,,,313224,ARDLEA ROAD,MARYFIELD CRESCENT,Ascaill Ard Colm
ARDEE ROAD,6,5,3,3,16,160,,,326325,WILLIAMS PARK,MILITARY ROAD,Bóthar áth Fhirdia
ARDEE STREET,4,4,1,R04,R04,140,,,326314,THE COOMBE,MILL STREET,Sráid áth Fhirdia
ARDEE STREET,2,4,1,R04,R04,102,R110,,326314,THE COOMBE,MILL STREET,Sráid áth Fhirdia
ARDILAUN ROAD,6,1,3,8,8,31,,,319816,SACKVILLE AVENUE,,Bóthar Ardoileán
ARDILAUN ROAD,6,1,2,8,8,112,,,319816,SACKVILLE AVENUE,,Bóthar Ardoileán
ARDLEA ROAD,6,3,2,9,9,1020,,,313219,ROUNDABOUT ON MALAHIDE ROAD,KILMORE ROAD,Bóthar Ard Liath
ARDMORE AVENUE,6,3,1,10,10,72,,,319723,ELLESMERE AVENUE,,Ascaill Ard Mór
ARDMORE CLOSE,6,3,2,7,7,161,,,313218,ARDMORE DRIVE,,Clós Ard Mór
ARDMORE CRESCENT,6,3,2,7,7,205,,,313219,ARDMORE DRIVE,,
ARDMORE DRIVE,6,3,2,7,7,1381,,,313218,KILMORE ROAD,,Céide Ard Mór
ARDMORE GROVE,6,3,2,7,7,159,,,313218,ARDMORE DRIVE,,Garrán Ard Mór
ARDMORE PARK,6,3,2,7,7,188,,,313219,ARDMORE DRIVE,,
ARGYLE ROAD,6,5,3,13,26,156,,,326222,HERBERT PARK,BRENDAN ROAD,Bóthar Earragháidheal
ARKLOW STREET,3,1,3,1,1,129,,,319723,ASHFORD STREET,COWPER STREET,Sráid Inbhear Mór
ARMAGH ROAD,3,4,1,10,18,78,,,332876,CAPTAINS ROAD,CLONARD ROAD,Bóthar Ard Mhacha
ARMAGH ROAD,3,4,2,10,18,273,,,332876,CAPTAINS ROAD,CLONARD ROAD,Bóthar Ard Mhacha
ARMSTRONG STREET,6,5,2,3,16,70,,,326324,HAROLDS X COTTAGES,HAROLDS X ROAD,Sráid Thréanlámhaigh
ARMSTRONG WALK,6,3,2,9,9,152,,,313214,TRANQUILITY GROVE,OSCAR TRAYNOR ROAD,Cosán Treanlamhach
ARNOTT STREET,6,5,1,11,3,225,,,326320,HEYSTEBURY STREET,CURZON STREET,Sráid Arnóid
ARRAN QUAY,1,1,1,R01,R01,330,N004,,326309,QUEEN STREET,CHURCH STREET BRIDGE,Cé Árann
ARRAN ROAD,6,1,3,14,22,102,,,319801,HOMEFARM ROAD,,Bóthar Árann
ARRAN STREET EAST,4,1,1,7,7,267,,,326305,MARYS LANE,ORMOND QUAY,
ARRAN STREET WEST,4,1,4,3,3,86,,,326309,ARRAN QUAY,ARRAN QUAY TERRACE,
ARRANMORE AVENUE,6,1,3,4,4,100,,,319720,NORTH CIRCULAR ROAD,,Ascaill Árainn Mhór
ARRANMORE ROAD,6,5,3,13,26,155,,,332902,HERBERT PARK,BRENDAN ROAD,Bóthar Árainn Mhór
ARTANE CASTLE SERVICE ROAD,6,3,1,8,8,167,,,313224,KILMORE ROAD,,
ASDILL'S ROW,6,5,1,9,1,51,,,326310,TEMPLE BAR,WELLINGTON QUAY,
ASH STREET,4,4,1,6,6,107,,,326314,GARDEN LANE,PARK TERRACE,Sráid Ais
ASHBROOK,6,1,1,9,17,178,,1990,319604,ASHTOWN ROAD,,Sruthán na Fuinnseóige
ASHBROOK,6,3,1,14,14,0,,,319809,HOWTH ROAD,,
ASHCROFT,6,3,1,11,11,1120,,1991,313317,STATION ROAD RAHENY,,Croit na Fuinseoige
ASHDALE AVENUE,6,4,3,12,20,80,,,332813,ASHDALE ROAD,,Ascaill Cúr na Fuinnseóige
ASHDALE GARDENS,6,4,3,12,20,68,,,332813,ASHDALE ROAD,,Gairdíní Cúr na Fuinnseóige
ASHDALE PARK,6,4,2,12,20,89,,,332813,ASHDALE ROAD,,Páirc Cúr na Fuinnseóige
ASHDALE ROAD,6,4,3,12,20,397,,,332813,EATON SQUARE,TERENURE ROAD NORTH,Bóthar Cúr na Fuinnseóige
ASHFIELD AVENUE,6,5,3,8,21,97,,,332901,ASHFIELD ROAD,MORNINGTON ROAD,
ASHFIELD PARK,6,4,3,12,20,104,,,332813,ASHDALE ROAD,MOUNT TALLANT AVENUE,
ASHFIELD ROAD,3,5,3,4,17,256,,,332901,RANELAGH,BEECHWOOD ROAD,
ASHFIELD ROAD,3,5,3,4,17,100,,,332901,RANELAGH,BEECHWOOD ROAD,
ASHFORD COTTAGES,6,1,3,1,1,31,,,319723,OFF ASHFORD STREET,,Iostáin áth na Fuinseóige
ASHFORD PLACE,6,1,3,1,1,44,,,319723,ASHFORD STREET,,Plás áth na Fuinseóige
ASHFORD STREET,6,1,3,1,1,129,,,319723,ROSS STREET,COWPER STREET,Sráid áth na Fuinseóige
ASHINGTON AVENUE,4,1,1,9,17,350,,,319706,KINVARA AVENUE,,Ascaill Ashington
ASHINGTON CLOSE,6,1,1,9,17,200,,,319706,ASHINGTON PARK,,Clós Ashington
ASHINGTON COURT,6,1,1,9,17,202,,,319706,ASHINGTON PARK,,Cúirt Ashington
ASHINGTON CRESCENT,6,1,1,9,17,194,,,319610,ASHINGTON HEATH,,Corrán Ashington
ASHINGTON DALE,6,1,1,9,17,202,,,319706,ASHINGTON PARK,,Gleanntán Ashington
ASHINGTON GARDENS,6,1,1,9,17,275,,,319706,ASHINGTON PARK,,Gairdíní Ashington
ASHINGTON GREEN,6,1,1,9,17,150,,,319706,ASHINGTON AVENUE,,Faiche Ashington
ASHINGTON GROVE,6,1,1,9,17,150,,,319706,ASHINGTON CRESCENT,,Garrán Ashington
ASHINGTON HEATH,6,1,1,9,17,175,,,319706,ASHINGTON AVENUE,,Fraoch  Ashington
ASHINGTON MEWS,6,1,1,9,17,130,,,319706,ASHINGTON COURT,,Eachlann Ashington
ASHINGTON PARK,6,1,1,9,17,278,,,319706,ASHINGTON COURT,ASHINGTON RISE,Páirc Ashington
ASHINGTON RISE,6,1,1,9,17,402,,,319706,ASHINGTON HEATH,CUL DE SAC,Ard Ashington
ASHLING CLOSE,6,4,1,10,18,122,,1991,326222,OLD COUNTY ROAD,,
ASHTOWN GROVE,6,1,3,9,17,276,,,319610,KINVARA PARK,,Garrán Bhaile na Fuinseoige
ASHTOWN ROAD,4,1,1,9,17,694,,,319604,NAVAN ROAD,CITY BOUNDRY,Bóthar Bhaile na Fuinseoige
ASHWORTH PLACE,6,5,2,3,16,68,,,326324,FITZGERALD STREET,MOUNT DRUMMOND AVENUE,Plás Aisbhiort
ASTON PLACE,4,5,2,9,1,81,,,326310,ASTON QUAY,FLEET STREET,Plás Astúin
ASTON QUAY,1,5,1,R09,R05,232,N004,,326310,BEDFORD ROW,O'CONNELL BRIDGE,Cé Astúin
ATHLUMNEY VILLAS,6,5,2,7,20,123,,,326325,OFF RANELAGH ROAD,,Bailtíní áthluimnigh
AUBURN AVENUE,6,5,3,13,26,145,,,332902,AUBURN ROAD,MOREHAMPTON RD,Ascaill Achadh na Gréine
AUBURN ROAD,6,5,3,8,21,81,,,332902,OFF HOME VILLAS,,Bóthar Achadh na Gréine
AUBURN STREET,6,1,3,5,5,162,,,319724,PRIMROSE AVENUE,,Sráid Achadh na Gréine
AUBURN VILLAS,6,5,3,3,16,144,,,332815,OFF RATHGAR ROAD,,Bailtíní Achadh na Gréine
AUBURN WALK,7,1,2,1,1,39,,,319723,OFF AUGHRIM STREET,,
AUGHAVANNAGH ROAD,6,4,2,11,19,390,,,326323,CLOGHER ROAD,PARNELL ROAD,
AUGHRIM COURT,6,1,1,1,1,0,,1995,319723,AUGHRIM STREET,,Cúirt Eachroma
AUGHRIM LANE,7,1,2,1,1,83,,,319723,HALLIDAY ROAD,,Lána Eachroma
AUGHRIM PLACE,6,1,3,1,1,120,,,319723,AUGHRIM STREET,OXMANSTOWN ROAD,Plás Eachroma
AUGHRIM STREET,2,1,1,1,1,285,R806,,319723,NORTH CIRCULAR ROAD,PRUSSIA STREET,Sráid Eachroma
AUGHRIM STREET,2,1,2,1,1,231,R806,,319723,NORTH CIRCULAR ROAD,PRUSSIA STREET,Sráid Eachroma
AULDEN GRANGE,6,3,1,1,1,937,,1993,313207,COOLOCK LANE OLD,,
AUNGIER LANE,7,5,2,13,5,44,,,326315,OFF AUNGIER PLACE,,Lána Áinséir
AUNGIER PLACE,7,5,2,13,5,90,,,326315,MERCER STREET UPPER,AUNGIER STREET,Plás Áinséir
AUNGIER STREET,2,5,1,R07,R03,351,R114,,326315,STEPHEN STREET LOWER,BISHOP STREET,Sráid Áinséir
AUSTINS COTTAGES,6,1,2,13,13,45,,,319817,ANNESLEY PLACE,,Iostáin Mhic Uistín
AVE MARIA ROAD,6,4,2,2,2,144,,,326313,LOURDES ROAD,,Bóthar Abhe Maria
AVENUE ROAD,7,5,1,12,4,215,,,326325,ST. KEVINS ROAD,BLOOMFIELD AVE.,Bóthar an Ascaill
AVONDALE AVENUE,6,1,1,2,2,122,,,319719,AVONDALE ROAD,PHIBSBOROUGH AVE.,Ascaill Gleannabhna
AVONDALE PARK,6,3,2,12,12,551,,,313323,HOWTH ROAD,RAHENY COURT,Páirc Gleannabhna
AVONDALE ROAD,5,1,1,2,2,164,,,319719,LESLIES BUILDINGS,NORTH CIRCULAR ROAD,Bóthar Gleannabhna
AYREFIELD AVENUE,6,3,2,4,4,276,,,313311,AYREFIELD ROAD,RATHVALE PARK,
AYREFIELD COURT,6,3,2,4,4,140,,,313311,AYREFIELD ROAD,,
AYREFIELD DRIVE,6,3,2,4,4,460,,,313306,NEWTOWN DRIVE,AYREFIELD ROAD,
AYREFIELD GROVE,6,3,2,4,4,93,,,313311,AYREFIELD AVENUE,,
AYREFIELD PARK,6,3,2,4,4,142,,,313311,AYREFIELD ROAD,RATHVALE AVENUE,
AYREFIELD PLACE,6,3,2,4,4,86,,,313311,AYREFIELD ROAD,,
AYREFIELD ROAD,6,3,2,16,16,422,,,313306,RATHVALE DRIVE,NEWTON DRIVE,
BACHELORS WALK,1,1,1,R01,R01,263,N004,,326305,O'CONNELL STREET,LOWER LIFFEY STREET,
BACHELORS WAY,6,1,1,12,12,93,,,326305,BACHELORS WALK,MIDDLE ABBEY STREET,
BACK LANE,6,4,1,6,6,185,,,326309,HIGH STREET,NICHOLAS STREET,An Lána Cúil
BAGGOT CLOSE,7,5,1,18,10,22,,,326411,BAGGOT STREET LOWER,,Clós Bhagóid
BAGGOT COURT,7,5,2,18,10,171,,,326411,BAGGOT STREET LOWER,PEMBROKE LANE,Cúirt Bhagóid
BAGGOT LANE,7,5,2,15,28,414,,,326417,NORTHTHUMBERLAND ROAD,EASTMORELAND PLACE,Lána Bhagóid
BAGGOT ROAD,6,1,3,9,17,42,,,319615,NAVAN ROAD,BLACKHORSE AVE.,Bóthar Bhagóid
BAGGOT ROAD,6,1,2,9,17,265,,,319615,NAVAN ROAD,BLACKHORSE AVE.,Bóthar Bhagóid
BAGGOT STREET LOWER,2,5,1,R17,R13,146,R816,,326411,MERRION STREET UPPER,WILTON TCE.,Sráid Bhagóid íocht
BAGGOT STREET LOWER,2,5,2,R17,R13,377,R816,,326411,MERRION STREET LOWER,WILTON TCE.,Sráid Bhagóid íocht
BAGGOT STREET LOWER,1,5,1,R17,R13,165,N011,,326411,MERRION STREET UPPER,WILTON TCE.,Sráid Bhagóid íocht
BAGGOT STREET UPPER,2,5,1,R07,R18,49,R816,,326417,HADDINGTON ROAD,EASTMORELAND PLACE,
BAGGOT STREET UPPER,2,5,2,R07,R18,164,R816,,326417,HADDINGTON ROAD,EASTMORELAND PLACE,
BAGGOTRATH PLACE,7,5,2,22,14,76,,,326411,FITZWILLIAM LANE,BAGGOT STREET LOWER,Plás Ráth Bhagóid
BAILEY'S ROW,6,1,3,14,14,132,,,319821,SUMMER HILL,PORTLAND ROW,
BALBUTCHER DRIVE,6,2,3,2,2,168,,,313104,BALBUTCHER LANE,,Céide Bhaile an Bhúistéara
BALBUTCHER LANE,3,2,1,2,2,2395,,,313104,BALCURRIS ROAD,,Lána Bhaile an Bhuistéara
BALBUTCHER WAY,6,2,3,2,2,188,,,313104,BALBUTCHER LANE,,Bealach Bhaile an Bhuistéara
BALCURRIS GARDENS,6,2,3,2,2,250,,,313110,BALCURRIS ROAD,,Gairdíní Bhaile Cora
BALCURRIS ROAD,3,2,1,2,2,566,,,313110,SILLOGE ROAD,BALBUTCHER LANE,Bóthar Bhaile Cora
BALFE AVENUE,6,4,1,10,18,233,,,332710,MOERAN ROAD,,Ascaill Balfe
BALFE ROAD,6,4,1,10,18,404,,,332705,,,Bóthar Balfe
BALFE ROAD EAST,6,4,2,10,18,241,,,332710,MOERAN ROAD,,
BALFE STREET,6,5,1,13,5,61,,,326315,HARRY STREET,CHATAM STREET,Sráid Balfe
BALLS LANE,6,1,2,7,7,55,,,326304,OFF ANNE STREET NORTH,,
BALLSBRIDGE AVENUE,6,5,2,17,30,222,,,326418,MERRION ROAD,BEATTYS AVE,Ascaill Dhroichid na Dothra
BALLSBRIDGE PARK,6,5,1,,,0,,1990,,MERRION ROAD,,
BALLSBRIDGE TERRACE,6,5,3,13,26,81,,,326423,PEMBROKE ROAD,,Ardán Dhroichid na Dothra
BALLYBOGGAN ROAD,4,1,1,11,19,1678,,,319701,RATOATH ROAD,FINGLAS ROAD,Bóthar Bhaile Uí Bhogáin
BALLYBOUGH AVENUE,6,1,1,13,13,168,,,319817,SPRING GARDEN LANE,,Ascaill  Bhaile Bocht
BALLYBOUGH COTTAGES,6,1,1,13,13,47,,,319817,BALLYBOUGH ROAD,,Iostáin Bhaile Bocht
BALLYBOUGH COURT,6,1,1,13,13,0,,,319817,BALLYBOUGH AVENUE,,Cúirt  Bhaile Bocht
BALLYBOUGH LANE,6,1,2,13,13,47,,,319817,BALLYBOUGH ROAD,,Lána Bhaile Bocht
BALLYBOUGH ROAD,2,1,1,R12,R12,580,R803,,319816,SUMMERHILL PLACE,RICHMOND ROAD,Bóthar Bhaile Bocht
BALLYFERMOT AVENUE,6,4,2,2,10,458,,,326213,KYLEMORE AVE,BALLYFERMOT ROAD,Ascaill Baile Thormaid
BALLYFERMOT CRESCENT,6,4,2,2,10,410,,,326213,BALLYFERMOT AVENUE,BALLYFERMOT AVENUE,Corrán Baile Thormaid
BALLYFERMOT DRIVE,6,4,2,2,10,624,,,326213,BALLYFERMOT PARADE,BALLYFERMOT AVE.,Ascaill Baile Thormaid
